idno	filename	author_surname	author_firstname	title	pub_first_year	pub_edition_years	publisher_ebook	genre	Sprache
wk02	wk_tadel_1971	Kempowski	Walter	Tadellöser & Wolff	1971	1978, 2016	Albrecht Knaus Verlag	novel	de
wk03	wk_gold_1972	Kempowski	Walter	Uns geht’s ja noch gold	1972	1978, 2016	Albrecht Knaus Verlag	novel	de
wk01	wk_kapitel_1975	Kempowski	Walter	Ein Kapitel für sich	1975	1978, 2016	Albrecht Knaus Verlag	novel	de
wk04	wk_zeit_1978	Kempowski	Walter	Aus großer Zeit	1978	1978, 2016	Albrecht Knaus Verlag	novel	de
wk05	wk_aussicht_1981	Kempowski	Walter	Schöne Aussicht	1981	1981, 2016	Albrecht Knaus Verlag	novel	de
wk06	wk_willkommen_1984	Kempowski	Walter	Herzlich willkommen	1984	1984, 2016	Albrecht Knaus Verlag	novel	de
wk07	wk_hundstage_1988	Kempowski	Walter	Hundstage	1988	1988, 2016	Albrecht Knaus Verlag	novel	de
wk08	wk_markbein_1991	Kempowski	Walter	Mark und Bein	1991	1992, 2008, 2016	Albrecht Knaus Verlag	novel	de
wk09	wk_heilewelt_1998	Kempowski	Walter	Heile Welt	1998	1998, 2016	Albrecht Knaus Verlag	novel	de
wk10	wk_gruesse_2003	Kempowski	Walter	Letzte Grüße	2003	2003, 2016	Albrecht Knaus Verlag	novel	de
wk11	wk_umsonst_2006	Kempowski	Walter	Alles umsonst	2006	2006, 2016	Albrecht Knaus Verlag	novel	de
gg01	gg_blechtrommel_1959	Grass	Günter	Die Blechtrommel	1959	2007, 2015	Steidl	novel	de
gg02	gg_schnecke_1972	Grass	Günter	Aus dem Tagebuch einer Schnecke	1972	2007, 2015	Steidl	novel	de
gg03	gg_raettin_1986	Grass	Günter	Die Rättin	1986	2007, 2015	Steidl	novel	de
hb01	hb_clown_1963	Böll	Heinrich	Ansichten eines Clowns	1963	1963, 2002, 2009	Kiepenheuer & Witsch	novel	de
hb02	hb_gruppenbild_1971	Böll	Heinrich	Gruppenbild mit Dame	1971	1979, 1991, 2005, 2007, 2009	Kiepenheuer & Witsch	novel	de
hb03	hb_frauen_1975	Böll	Heinrich	Frauen vor Flußlandschaft	1975	2007, 2009	Kiepenheuer & Witsch	novel	de
cb01	cb_tessin_1960	Brückner	Christine	Ein Frühling im Tessin	1960	2001, 2008, 2017	Refinery	novel	de
cb02	cb_jauche_1975	Brückner	Christine	Jauche und Levkojen	1975	2000, 2005, 2012	Ullstein	novel	de
cb03	cb_quints_1985	Brückner	Christine	Die Quints	1985	2000, 2003, 2010	Ullstein	novel	de
cw01	cw_nachdenken_1968	Wolf	Christa	Nachdenken über Christa T.	1968	1999, 2007, 2012	Suhrkamp	Roman	de
cw02	cw_kindheitsmuster_1976	Wolf	Christa	Kindheitsmuster	1976	2000, 2007, 2012	Suhrkamp	Roman	de
cw03	cw_medea_1996	Wolf	Christa	Medea. Stimmen	1996	2001, 2008, 2010	Suhrkamp	Roman	de
